title,author,publisher,rating,language,image_link
Attack on Titan Sampler,Hajime Isayama,Kodansha Comics,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/81GgWmcj+jL._AC_UY218_.jpg
"Naruto, Vol. 1: Uzumaki Naruto",Masashi Kishimoto,VIZ Media LLC,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/71QYLrc-IQL._AC_UY218_.jpg
The New Married Life Volume: 1 (Well manga Book 13),GLEN  ELLIS,,Not Available,English,https://m.media-amazon.com/images/I/71x-bApY9kL._AC_UY218_.jpg
Attack on Titan Vol. 1,Hajime Isayama,Kodansha Comics,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/91F-m3Zm1xL._AC_UY218_.jpg
"Naruto (3-in-1 Edition), Vol. 3: Includes vols. 7, 8 & 9 (3)",Masashi Kishimoto,VIZ Media LLC,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/71NbmdXUhfL._AC_UY218_.jpg
A Silent Voice 1 (A Silent Voice Complete Series Box Set),Yoshitoki Oima,Kodansha Comics,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/91Ir6asZe7L._AC_UY218_.jpg
"Demon Slayer: Kimetsu no Yaiba, Vol. 15 (15)",Koyoharu Gotouge,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81WnIx7M5XL._AC_UY218_.jpg
Color BTS! The Most Beautiful BTS Coloring Book For ARMY,Kpop-Ftw Print,Tee Books,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/71gDi1VeUtS._AC_UY218_.jpg
Always,S. Yumi Yamamoto,Sophia Yamamoto,4.1 out of 5 stars,English,https://m.media-amazon.com/images/I/71820ogX94L._AC_UY218_.jpg
Manga Comedy: The Best Dank Joke Book XL 2023 Ultra Cool,Chucky Chadwick-Memes,,Not Available,English,https://m.media-amazon.com/images/I/71yeEEnhTfL._AC_UY218_.jpg
How to Draw Manga: How to Draw Anime Book for Kids and Adults to Draw the Greatest Anime and Manga Characters of all Time,Gina Ishimoto,,4.0 out of 5 stars,English,https://m.media-amazon.com/images/I/81batTZSddL._AC_UY218_.jpg
"Tokyo Ghoul, Vol. 1 (1)",Sui Ishida,VIZ Media LLC,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/51uWQfEYayL._AC_UY218_.jpg
Death Note (All-in-One Edition),Tsugumi Ohba,VIZ Media LLC,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/71sBVJBC3+L._AC_UY218_.jpg
Attack on Titan Season 1 Part 1 Manga Box Set (Attack on Titan Manga Box Sets),Hajime Isayama,Kodansha Comics,4.8 out of 5 stars,English,https://m.media-amazon.com/images/I/91VlIW1pn8L._AC_UY218_.jpg
Shine of the Moon: A Graphic Novel,John Lawry,John Lawry Studio & Gallery,Not Available,English,https://m.media-amazon.com/images/I/81SzOQufW1L._AC_UY218_.jpg
My Awesome Comic Book: Write and Illustrate Your Own Comic Book (Awesome Comic Sketchbooks),Awesome Comic Book Creator,Awesome Comic Sketchbooks,4.6 out of 5 stars,English,https://m.media-amazon.com/images/I/71+Nez0GgAL._AC_UY218_.jpg
