title,author,publisher,rating,language,image_link
The Cambridge Companion to Gothic Fiction (Cambridge Companions to Literature),Jerrold E. Hogle,Cambridge University Press,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/71SLrxUk8NL._AC_UY218_.jpg
Contemporary Fiction (Cambridge Contexts in Literature),Pamela Bickley,Cambridge University Press,3.9 out of 5 stars,English,https://m.media-amazon.com/images/I/61kLsXf2nwL._AC_UY218_.jpg
The Cambridge Companion to Science Fiction (Cambridge Companions to Literature),Edward James,Cambridge University Press,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/71XM121iBgL._AC_UY218_.jpg
The Cambridge Companion to World Crime Fiction (Cambridge Companions to Literature),Jesper Gulddal,,5.0 out of 5 stars,English,https://m.media-amazon.com/images/I/81gvj5DkiZL._AC_UY218_.jpg
"Contemporary American Literature Poetry, Fiction, Drama and",Ed. R. Bhongle,Atlantic,2.7 out of 5 stars,English,https://m.media-amazon.com/images/I/71KliGPYxvL._AC_UY218_.jpg
The Cambridge Companion to Postmodern American Fiction (Cambridge Companions to Literature),Paula Geyh,Cambridge University Press,5.0 out of 5 stars,English,https://m.media-amazon.com/images/I/71k7bY2XFnL._AC_UY218_.jpg
Sybil or the Two Nations: A tale of romanticism in a world of dirty politics & class discrimination.,Benjamin Disraeli,Edugorilla Community Pvt.Ltd,3.9 out of 5 stars,English,https://m.media-amazon.com/images/I/71Eg6ekimyS._AC_UY218_.jpg
Antra,Sukhjit,Chetna Parkashan,Not Available,Punjabi,https://m.media-amazon.com/images/I/812Hi1WBQNL._AC_UY218_.jpg
Taxi Wallah and Other Stories,Numair At if Choudhury,Generic,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/91e96ywt9rL._AC_UY218_.jpg
English Literature,William J. Long,Maple Press,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/91dwLorwSSL._AC_UY218_.jpg
