title,author,publisher,rating,language,image_link
Ghosts in the Dark Silence,Anita Krishan,Fingerprint Publishing!,4.1 out of 5 stars,English,https://m.media-amazon.com/images/I/81qGYJvN1wL._AC_UY218_.jpg
Silent Patient,Alex Michaelides,Orion Publishing Group,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/51oVTRsjcqL._AC_UY218_.jpg
"3 And A Half Murders: An Inspector Saralkar Mystery (Core List, Bestseller)",Salil Desai,Fingerprint! Publishing,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/71R7xR0-wSL._AC_UY218_.jpg
Dark Matter,Blake Crouch,Pan Books,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/81xS77gfCgL._AC_UY218_.jpg
"The Woman in the Window [Paperback] [Jan 29, 2018] A. J. Finn",A. J. Finn,HARPER COLLINS UK,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/91ulS5E+mXL._AC_UY218_.jpg
That Night,Nidhi Upadhyay,Ebury Press,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/81b1PP4RK1L._AC_UY218_.jpg
THE GIRLS BENEATH,ARMSTRONG  ROSS,HARPER COLLINS,3.8 out of 5 stars,English,https://m.media-amazon.com/images/I/71oktQry5cL._AC_UY218_.jpg
The Guest List,Lucy Foley,HARPERCOLLINS,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/71OBJYIySBL._AC_UY218_.jpg
That Night,Nidhi Upadhyay,Ebury Press,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/81b1PP4RK1L._AC_UY218_.jpg
Dead to Her,Pinborough  Sarah,HARPER COLLINS,4.0 out of 5 stars,English,https://m.media-amazon.com/images/I/81Hraj6LjiS._AC_UY218_.jpg
The Wife Upstairs,,HarperCollins,4.1 out of 5 stars,English,https://m.media-amazon.com/images/I/81fjvCmxNWL._AC_UY218_.jpg
The Jealousy Man and Other Stories,Nesbo  Jo,RANDOM HOUSE UK,4.2 out of 5 stars,English,https://m.media-amazon.com/images/I/A1SDUsxLG8S._AC_UY218_.jpg
The Search: A Perfect Murder Mystery,Vishal Anand,SHOTS,4.1 out of 5 stars,English,https://m.media-amazon.com/images/I/41l3nAX-GZL._AC_UY218_.jpg
Death of Innocence - A Psychological Murder Mystery,Haranath Ghosh,White Falcon Publishing,3.8 out of 5 stars,English,https://m.media-amazon.com/images/I/61ZYBZ0rG1L._AC_UY218_.jpg
The Kid Killer - An Inspector Saralkar Mystery,Salil Desai,Fingerprint! Publishing,4.7 out of 5 stars,English,https://m.media-amazon.com/images/I/81jyqaJEZXL._AC_UY218_.jpg
99 Red Balloons,Elisabeth Carpenter,HARPER COLLINS,4.1 out of 5 stars,English,https://m.media-amazon.com/images/I/81GoqWJeziL._AC_UY218_.jpg
Over My Dead Body,,,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/81P2tieQEnL._AC_UY218_.jpg
The Best of Sherlock Holmes (Set of 2 Books),Sir Arthur Conan Doyle,Fingerprint! Publishing,4.6 out of 5 stars,English,https://m.media-amazon.com/images/I/81AFx0AuG-L._AC_UY218_.jpg
