title,author,publisher,rating,language,image_link
"The First 90 Days, Newly Revised and Updated: Proven Strategies for Getting Up to Speed Faster and Smarter",Michael D. Watkins,Harvard Business Review Press,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/71mSgXoPXaL._AC_UY218_.jpg
The Lost World (Collins Classics),Arthur Conan Doyle,William Collins,4.4 out of 5 stars,English,https://m.media-amazon.com/images/I/815Y0yCuzYL._AC_UY218_.jpg
You Ruin Everything,M. Malone,Crushstar Romance,Not Available,English,https://m.media-amazon.com/images/I/71By-kI14nL._AC_UY218_.jpg
The Last Sanctifier: An Epic Fantasy Adventure (Aeonica Book 3),David Musk,,Not Available,English,https://m.media-amazon.com/images/I/81v2Bseg-EL._AC_UY218_.jpg
The Ashfire King (The Sandsea Trilogy),Chelsea Abdullah,Orbit,Not Available,English,https://m.media-amazon.com/images/I/91GI2NauS2L._AC_UY218_.jpg
"The Bride Bet: The brand new, must read regency romance of 2020 from Tessa Dare. A must read for fans of Jane Austen and Georgette Heyer (Girl meets Duke, Book 4)",Tessa Dare,Mills & Boon,Not Available,English,https://m.media-amazon.com/images/I/81bnBiD000L._AC_UY218_.jpg
Vengeful God: A Dark Bully Romance (Gods of Ravencrest University Book 1),Ember Vale,Ember Vale,Not Available,English,https://m.media-amazon.com/images/I/910DohbFPwL._AC_UY218_.jpg
A Whole New Game: A Brother's Best Friend Romance,Britt McKenna,,Not Available,English,https://m.media-amazon.com/images/I/914C8TH9WpL._AC_UY218_.jpg
"NIKI: Steamy, Instalove, Sports Romance (Warrior Love)",Imani Jay,,Not Available,English,https://m.media-amazon.com/images/I/71JJ-xiiMPL._AC_UY218_.jpg
How I Magically Unstuck My Life in Thirty Crazy Days with Bob Proctor Book 3,Sandy Gallagher,G&D Media,Not Available,English,https://m.media-amazon.com/images/I/71i7sS6EiDL._AC_UY218_.jpg
Never Will I Ever,CE Ricci,,Not Available,English,https://m.media-amazon.com/images/I/41EJHoF+AbL._AC_UY218_.jpg
The Intimate Animal: Why we’ve evolved to live and die for love,Justin Garcia,Penguin,Not Available,English,https://m.media-amazon.com/images/I/71CxOupLz-L._AC_UY218_.jpg
Fortune Fae Academy: Book Four,J.R. Thorn,,Not Available,English,https://m.media-amazon.com/images/I/91stCRN6-DL._AC_UY218_.jpg
On The Edge: A Dark College Romance (A Mayfair University Novel Book 3),K.G. Reuss,,Not Available,English,https://m.media-amazon.com/images/I/91PW8pflEcL._AC_UY218_.jpg
House of Flame and Shadow (Crescent City Book 3),Sarah J. Maas,Bloomsbury Publishing,Not Available,English,https://m.media-amazon.com/images/I/71-EMGKWHpL._AC_UY218_.jpg
Second Time's A Charm: A Second Chance Contemporary Romance Anthology (Romance Café Collection Book 28),Sofia Aves,Romance Cafe Publishing,Not Available,English,https://m.media-amazon.com/images/I/81DmfiF9nsL._AC_UY218_.jpg
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,Jaico,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/71zytzrg6lL._AC_UY218_.jpg
Think & Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,Fingerprint! Publishing,4.5 out of 5 stars,English,https://m.media-amazon.com/images/I/711xMzVPIuL._AC_UY218_.jpg
