title,author,publisher,rating,language,image_link
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,Seven Seas,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/815UPNBGqbL._AC_UL320_.jpg
"Mark of the Lion Series Gift Collection: Complete 3-Book Set (A Voice in the Wind, An Echo in the Darkness, As Sure as the Dawn) Christian Historical Fiction Novels Set in 1st Century Rome",Francine Rivers,Tyndale House Publishers,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81LhDCbk7ZL._AC_UL320_.jpg
Rohan at the Louvre (Louvre Collection),Hirohiko Araki,NBM ComicsLit,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51BiVRC31HL._AC_UL320_.jpg
Wotakoi: Love is Hard for Otaku 2,Fujita,Kodansha Comics,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81LV68Gza1L._AC_UL320_.jpg
I Hear the Sunspot: Theory of Happiness (I Hear the Sunspot Series),Yuki Fumino,One Peace Books,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/71YhVCZ8UqL._AC_UL320_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 1: Includes Vols. 1 & 2 (1)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51rrr1pQMhL._AC_UL320_.jpg
"Fruits Basket Collector's Edition, Vol. 2 (Fruits Basket Collector's Edition, 2)",Natsuki Takaya,Yen Press,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/41yuAJVHV8L._AC_UL320_.jpg
"Fruits Basket Collector's Edition, Vol. 3 (Fruits Basket Collector's Edition, 3)",Natsuki Takaya,Yen Press,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/41kKQvevTVL._AC_UL320_.jpg
I Hear the Sunspot: Limit Volume 1 (I Hear the Sunspot Series),Yuki Fumino,One Peace Books,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/811eSgykcYL._AC_UL320_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 2: Includes Vols. 3 & 4 (2)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/91dgs2r308L._AC_UL320_.jpg
I Hear the Sunspot: Limit Volume 2 (I Hear the Sunspot Series),Yuki Fumino,One Peace Books,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81+G4otqdQL._AC_UL320_.jpg
"Kamisama Kiss, Vol. 2 (2)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/71KXFXoBxHL._AC_UL320_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 5: Includes Vols. 9 & 10 (5)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51kr2b3d3xL._AC_UL320_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 4: Includes Vols. 7 & 8 (4)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51RuEdRnD0L._AC_UL320_.jpg
"Fruits Basket Collector's Edition, Vol. 9 (Fruits Basket Collector's Edition, 9)",Natsuki Takaya,Yen Press,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81IrqNEVyLL._AC_UL320_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 3: Includes Vols. 5 & 6 (3)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51J6W8savLL._AC_UL320_.jpg
Bloom into You Vol. 2 (Bloom into You (Manga)),Nakatani Nio,Seven Seas,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81IDwYOaEtS._AC_UL320_.jpg
"Kamisama Kiss, Vol. 3 (3)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/91q0iT6HppL._AC_UL320_.jpg
"Maid-sama! (2-in-1 Edition), Vol. 6: Includes Vols. 11 & 12 (6)",Hiro Fujiwara,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51dJAM8ivNL._AC_UL320_.jpg
"Kamisama Kiss, Vol. 5 (5)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81fdyofF7ZL._AC_UL320_.jpg
"Kamisama Kiss, Vol. 15 (15)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51Lm8suuobL._AC_UL320_.jpg
"Kamisama Kiss, Vol. 12 (12)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/51UCiuCYCyL._AC_UL320_.jpg
"Kamisama Kiss, Vol. 7 (7)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/71BTQkunGzL._AC_UL320_.jpg
"Kamisama Kiss, Vol. 20 (20)",Julietta Suzuki,VIZ Media LLC,4.9 out of 5 stars,English,https://m.media-amazon.com/images/I/81YPohl9ghL._AC_UL320_.jpg
Worlds Greatest Books For Personal Growth & Wealth (Set of 4 Books) (Hindi Edition),Various,Fingerprint! Publishing,4.4 out of 5 stars,Hindi,https://m.media-amazon.com/images/I/81rh1n8dj-L._AC_UL320_.jpg
1984 (Deluxe Hardbound Edition),George Orwell,Fingerprint! Publishing,4.6 out of 5 stars,English,https://m.media-amazon.com/images/I/81vHA1+GmhS._AC_UL320_.jpg
Golden English Language and Literature: (With Sample Papers) A book with a Differene for Class - 10 (For CBSE 2021 Board Exams),R K Gupta,,4.3 out of 5 stars,English,https://m.media-amazon.com/images/I/91NE34mmKCL._AC_UL320_.jpg
